dateTime,passengersNumber,line,lineType
2020-03-21,770.0,5,daily
2019-07-16,9927.0,5,daily
2019-08-02,8636.0,5,daily
2019-08-04,5173.0,5,daily
2019-08-05,9485.0,5,daily
2019-08-13,11506.0,5,daily
2019-09-06,9160.0,5,daily
2019-09-08,6653.0,5,daily
2019-09-20,10558.0,5,daily
2019-11-20,8587.0,5,daily
2019-12-05,10180.0,5,daily
2019-12-18,10000.0,5,daily
2020-02-06,10115.0,5,daily
2020-02-17,9606.0,5,daily
2020-03-08,4032.0,5,daily
2020-03-14,2187.0,5,daily
2020-03-27,1552.0,5,daily
2019-05-25,7213.0,5,daily
2019-06-01,8786.0,5,daily
2019-06-04,8959.0,5,daily
2019-06-29,7549.0,5,daily
2019-07-18,9526.0,5,daily
2019-07-24,10928.0,5,daily
2019-07-27,8110.0,5,daily
2019-07-29,8986.0,5,daily
2019-08-06,9338.0,5,daily
2019-08-15,9012.0,5,daily
2019-10-31,10278.0,5,daily
2019-11-13,8749.0,5,daily
2019-12-04,9913.0,5,daily
2019-12-27,7839.0,5,daily
2020-01-06,2341.0,5,daily
2020-01-19,6754.0,5,daily
2020-01-24,9323.0,5,daily
2020-02-13,10686.0,5,daily
2020-03-10,5499.0,5,daily
2020-03-23,1598.0,5,daily
2019-05-15,8396.0,5,daily
2019-05-23,8884.0,5,daily
2019-06-19,8854.0,5,daily
2019-07-02,9349.0,5,daily
2019-07-03,9617.0,5,daily
2019-07-23,9521.0,5,daily
2019-08-24,8201.0,5,daily
2019-10-04,9941.0,5,daily
2019-11-09,7763.0,5,daily
2019-11-23,6755.0,5,daily
2019-12-09,9461.0,5,daily
2019-12-28,6655.0,5,daily
2019-12-29,3605.0,5,daily
2020-01-11,6999.0,5,daily
2020-02-18,8806.0,5,daily
2020-02-26,10055.0,5,daily
2020-03-11,8497.0,5,daily
2020-03-18,1837.0,5,daily
2019-05-09,9791.0,5,daily
2019-05-20,8255.0,5,daily
2019-05-24,9710.0,5,daily
2019-07-04,9652.0,5,daily
2019-07-14,4758.0,5,daily
2019-07-31,5640.0,5,daily
2019-09-15,4058.0,5,daily
2019-09-25,10429.0,5,daily
2019-09-30,9174.0,5,daily
2019-11-15,9788.0,5,daily
2019-11-17,3222.0,5,daily
2019-11-24,3488.0,5,daily
2019-11-27,9382.0,5,daily
2019-12-13,9479.0,5,daily
2019-12-23,9949.0,5,daily
2020-01-26,4560.0,5,daily
2020-02-05,9370.0,5,daily
2020-03-06,9531.0,5,daily
2020-03-07,6818.0,5,daily
2020-03-16,2664.0,5,daily
2020-03-24,1534.0,5,daily
2020-03-27,1578.0,5,daily
2020-03-30,1535.0,5,daily
2019-05-12,5431.0,5,daily
2019-05-27,9343.0,5,daily
2019-06-26,9376.0,5,daily
2019-07-07,4020.0,5,daily
2019-07-25,6226.0,5,daily
2019-07-26,10518.0,5,daily
2019-07-30,9841.0,5,daily
2019-08-03,6775.0,5,daily
2019-08-20,9442.0,5,daily
2019-09-07,8151.0,5,daily
2019-09-12,9795.0,5,daily
2019-10-12,5292.0,5,daily
2019-10-21,9442.0,5,daily
2019-10-28,8943.0,5,daily
2019-10-30,10930.0,5,daily
2019-11-29,11063.0,5,daily
2019-12-12,10575.0,5,daily
2020-01-03,7783.0,5,daily
2020-01-16,9074.0,5,daily
2020-02-21,9744.0,5,daily
2020-02-22,9458.0,5,daily
2020-03-01,4046.0,5,daily
2019-05-11,7241.0,5,daily
2019-06-24,8513.0,5,daily
2019-07-20,7656.0,5,daily
2019-08-09,10017.0,5,daily
2019-08-10,10535.0,5,daily
2019-08-27,8762.0,5,daily
2019-11-01,4665.0,5,daily
2019-11-08,10574.0,5,daily
2019-11-18,9201.0,5,daily
2019-11-28,10310.0,5,daily
2019-12-03,9190.0,5,daily
2019-12-25,1405.0,5,daily
2019-12-30,8505.0,5,daily
2020-01-02,7879.0,5,daily
2020-01-07,8545.0,5,daily
2020-01-08,8622.0,5,daily
2020-02-10,9082.0,5,daily
2020-02-20,9502.0,5,daily
2020-03-13,4370.0,5,daily
2019-06-06,9262.0,5,daily
2019-06-23,4570.0,5,daily
2019-07-28,5449.0,5,daily
2019-08-12,10719.0,5,daily
2019-08-14,11594.0,5,daily
2019-09-02,8483.0,5,daily
2019-09-05,9085.0,5,daily
2019-10-18,10074.0,5,daily
2019-11-06,10270.0,5,daily
2019-11-19,9103.0,5,daily
2019-11-30,7648.0,5,daily
2019-12-21,11177.0,5,daily
2020-01-01,1111.0,5,daily
2020-01-04,7688.0,5,daily
2020-01-05,5310.0,5,daily
2020-01-18,8049.0,5,daily
2020-01-27,9024.0,5,daily
2020-01-28,8828.0,5,daily
2020-02-12,9123.0,5,daily
2020-03-02,9864.0,5,daily
2020-03-03,9729.0,5,daily
2020-03-20,1655.0,5,daily
2020-03-28,926.0,5,daily
2019-05-26,4107.0,5,daily
2019-06-30,3979.0,5,daily
2019-07-09,9641.0,5,daily
2019-07-19,9890.0,5,daily
2019-08-17,11053.0,5,daily
2019-08-23,9031.0,5,daily
2019-08-30,8895.0,5,daily
2019-09-01,5555.0,5,daily
2019-09-13,9698.0,5,daily
2019-09-21,8502.0,5,daily
2019-10-07,8134.0,5,daily
2019-10-11,9936.0,5,daily
2019-11-10,4741.0,5,daily
2019-12-06,5354.0,5,daily
2019-12-19,8506.0,5,daily
2020-01-12,2966.0,5,daily
2020-01-13,6771.0,5,daily
2020-01-23,9946.0,5,daily
2020-02-25,9036.0,5,daily
2020-03-26,1164.0,5,daily
2019-05-22,8615.0,5,daily
2019-05-28,9803.0,5,daily
2019-05-30,8579.0,5,daily
2019-06-28,9462.0,5,daily
2019-07-22,9658.0,5,daily
2019-08-07,9769.0,5,daily
2019-10-15,9338.0,5,daily
2019-10-17,10048.0,5,daily
2019-11-02,6000.0,5,daily
2019-11-14,10130.0,5,daily
2019-11-21,9876.0,5,daily
2019-11-25,8489.0,5,daily
2019-12-08,3744.0,5,daily
2020-02-16,3402.0,5,daily
2020-02-19,9064.0,5,daily
2020-02-23,4540.0,5,daily
2020-02-24,8049.0,5,daily
2020-03-19,500.0,5,daily
2023-03-01,10321.0,5,daily
2023-02-28,10375.0,5,daily
2021-11-02,9466.0,5,daily
2021-12-17,10223.0,5,daily
2022-02-28,8604.0,5,daily
2022-06-10,10718.0,5,daily
2022-08-05,8788.0,5,daily
2022-08-31,9066.0,5,daily
2022-09-21,10636.0,5,daily
2022-11-13,5227.0,5,daily
2022-12-20,11090.0,5,daily
2023-02-08,10779.0,5,daily
2022-06-27,8510.0,5,daily
2022-08-08,8992.0,5,daily
2022-09-17,8599.0,5,daily
2021-12-08,4084.0,5,daily
2021-12-21,10133.0,5,daily
2022-04-21,7463.0,5,daily
2022-05-20,9896.0,5,daily
2022-07-05,9634.0,5,daily
2022-08-13,10131.0,5,daily
2022-09-06,7406.0,5,daily
2022-10-17,9879.0,5,daily
2022-12-12,10481.0,5,daily
2022-12-29,9507.0,5,daily
2023-01-03,10089.0,5,daily
2023-02-22,10473.0,5,daily
2022-06-30,8321.0,5,daily
2022-08-24,7917.0,5,daily
2022-09-24,7325.0,5,daily
2021-12-16,9965.0,5,daily
2022-01-17,8834.0,5,daily
2022-02-02,9475.0,5,daily
2022-05-05,9751.0,5,daily
2022-05-29,7571.0,5,daily
2022-07-13,10753.0,5,daily
2022-08-25,8140.0,5,daily
2022-09-13,10131.0,5,daily
2022-10-31,10036.0,5,daily
2023-01-23,9938.0,5,daily
2022-06-08,9839.0,5,daily
2022-07-29,9486.0,5,daily
2022-09-11,7349.0,5,daily
2022-10-04,10608.0,5,daily
2021-12-09,9735.0,5,daily
2022-01-13,9096.0,5,daily
2022-01-30,4199.0,5,daily
2022-05-03,9641.0,5,daily
2022-05-23,9407.0,5,daily
2022-07-10,7169.0,5,daily
2022-08-15,9541.0,5,daily
2022-10-20,10092.0,5,daily
2022-06-07,9511.0,5,daily
2022-07-01,9306.0,5,daily
2022-08-26,8476.0,5,daily
2022-09-28,10056.0,5,daily
2021-08-15,5216.0,5,daily
2021-10-08,9775.0,5,daily
2021-10-19,9521.0,5,daily
2023-01-22,5301.0,5,daily
2021-04-07,7639.0,5,daily
2021-05-07,8920.0,5,daily
2021-07-15,8444.0,5,daily
2021-09-07,8668.0,5,daily
2021-10-11,8259.0,5,daily
2021-11-16,9395.0,5,daily
2022-01-01,4219.0,5,daily
2021-04-18,4740.0,5,daily
2021-05-03,8202.0,5,daily
2021-06-07,8831.0,5,daily
2021-07-30,7966.0,5,daily
2021-09-08,9663.0,5,daily
2023-01-14,9128.0,5,daily
2023-02-23,10556.0,5,daily
2021-04-16,8730.0,5,daily
2021-07-11,6284.0,5,daily
2021-08-12,7648.0,5,daily
2021-10-02,7706.0,5,daily
2021-10-29,9928.0,5,daily
2021-12-15,9877.0,5,daily
2022-02-18,9707.0,5,daily
2022-02-21,9351.0,5,daily
2022-02-26,9998.0,5,daily
2022-04-04,9589.0,5,daily
2022-04-29,10163.0,5,daily
2022-05-07,8634.0,5,daily
2021-09-18,7191.0,5,daily
2021-11-03,9596.0,5,daily
2021-12-22,9254.0,5,daily
2022-02-05,7496.0,5,daily
2022-04-01,10147.0,5,daily
2022-05-14,7795.0,5,daily
2022-07-08,9510.0,5,daily
2022-08-01,8735.0,5,daily
2022-09-25,5500.0,5,daily
2022-10-22,8489.0,5,daily
2022-12-01,10574.0,5,daily
2022-02-13,4971.0,5,daily
2022-03-24,9621.0,5,daily
2022-05-09,9604.0,5,daily
2022-06-14,9865.0,5,daily
2022-07-23,8229.0,5,daily
2022-10-11,10603.0,5,daily
2022-12-08,5634.0,5,daily
2023-02-06,10311.0,5,daily
2023-02-12,6384.0,5,daily
2021-05-01,5128.0,5,daily
2021-10-25,9281.0,5,daily
2022-01-24,8897.0,5,daily
2022-02-04,9709.0,5,daily
2022-05-08,5804.0,5,daily
2022-05-30,9584.0,5,daily
2022-07-17,7046.0,5,daily
2022-08-29,7959.0,5,daily
2022-11-04,10779.0,5,daily
2023-01-28,7738.0,5,daily
2022-06-23,9361.0,5,daily
2022-08-06,8082.0,5,daily
2022-09-15,10082.0,5,daily
2022-10-05,10349.0,5,daily
2022-10-12,5828.0,5,daily
2022-10-26,10324.0,5,daily
2022-10-29,8293.0,5,daily
2022-11-08,9886.0,5,daily
2022-11-12,8940.0,5,daily
2022-11-16,9804.0,5,daily
2022-11-23,10365.0,5,daily
2022-11-29,10493.0,5,daily
2022-12-14,10614.0,5,daily
2022-12-25,4939.0,5,daily
2023-01-17,10178.0,5,daily
2023-02-13,10672.0,5,daily
2021-04-22,8409.0,5,daily
2021-04-29,8683.0,5,daily
2021-05-24,7599.0,5,daily
2021-08-21,7183.0,5,daily
2021-10-24,5178.0,5,daily
2023-02-11,9275.0,5,daily
2021-04-10,6642.0,5,daily
2021-05-12,8361.0,5,daily
2021-07-29,8130.0,5,daily
2021-09-19,4784.0,5,daily
2021-10-22,9489.0,5,daily
2021-11-23,9211.0,5,daily
2022-02-06,4723.0,5,daily
2022-03-15,9680.0,5,daily
2022-04-25,9758.0,5,daily
2022-06-04,7907.0,5,daily
2021-11-13,7563.0,5,daily
2021-12-27,8230.0,5,daily
2022-03-04,10226.0,5,daily
2022-04-02,7668.0,5,daily
2022-05-15,5035.0,5,daily
2022-07-22,9056.0,5,daily
2022-08-02,9938.0,5,daily
2022-09-27,10074.0,5,daily
2022-11-02,10426.0,5,daily
2022-12-13,11043.0,5,daily
2022-03-03,9645.0,5,daily
2022-03-29,9637.0,5,daily
2022-05-12,9940.0,5,daily
2022-08-18,6833.0,5,daily
2022-10-13,10210.0,5,daily
2023-01-07,8050.0,5,daily
2023-02-27,10093.0,5,daily
2021-05-08,8144.0,5,daily
2021-05-16,3764.0,5,daily
2022-09-09,6553.0,5,daily
2022-10-23,5751.0,5,daily
2022-11-30,10237.0,5,daily
2023-02-17,10935.0,5,daily
2021-06-22,8197.0,5,daily
2021-08-02,8456.0,5,daily
2021-11-21,4413.0,5,daily
2021-12-19,6044.0,5,daily
2022-01-12,9200.0,5,daily
2022-12-06,6469.0,5,daily
2023-01-09,10708.0,5,daily
2023-02-02,10879.0,5,daily
2021-05-19,8587.0,5,daily
2021-07-02,8649.0,5,daily
2021-09-10,9559.0,5,daily
2022-10-07,10857.0,5,daily
2022-11-07,10209.0,5,daily
2023-01-26,10522.0,5,daily
2023-02-25,8937.0,5,daily
2021-04-24,6980.0,5,daily
2021-07-03,6959.0,5,daily
2021-09-14,9173.0,5,daily
2021-10-16,7703.0,5,daily
2021-12-06,4894.0,5,daily
2022-01-06,4451.0,5,daily
2022-02-11,9870.0,5,daily
2022-12-22,10194.0,5,daily
2021-04-15,8613.0,5,daily
2021-08-30,8202.0,5,daily
2021-12-20,10163.0,5,daily
2022-01-25,9195.0,5,daily
2022-03-06,5178.0,5,daily
2022-05-13,10090.0,5,daily
2022-06-15,10270.0,5,daily
2022-08-09,9055.0,5,daily
2022-09-05,9718.0,5,daily
2022-10-14,10795.0,5,daily
2022-11-20,4938.0,5,daily
2022-12-27,10243.0,5,daily
2023-02-10,10867.0,5,daily
2022-06-29,8504.0,5,daily
2022-08-21,5941.0,5,daily
2022-09-22,10611.0,5,daily
2022-12-18,6074.0,5,daily
2023-01-06,5976.0,5,daily
2023-01-31,10694.0,5,daily
2021-04-17,6735.0,5,daily
2021-04-30,8963.0,5,daily
2021-05-29,6940.0,5,daily
2021-06-29,8078.0,5,daily
2021-09-06,8989.0,5,daily
2023-01-13,10888.0,5,daily
2023-02-14,10874.0,5,daily
2021-04-11,3613.0,5,daily
2021-06-05,6898.0,5,daily
2021-08-07,7147.0,5,daily
2021-09-22,9468.0,5,daily
2021-10-27,9709.0,5,daily
2021-11-27,6449.0,5,daily
2022-02-08,9515.0,5,daily
2022-04-03,5223.0,5,daily
2021-10-07,9763.0,5,daily
2021-11-15,9124.0,5,daily
2022-01-10,8963.0,5,daily
2022-03-13,5161.0,5,daily
2022-04-27,9889.0,5,daily
2022-06-03,9775.0,5,daily
2022-07-25,6020.0,5,daily
2022-08-17,9378.0,5,daily
2022-10-10,9929.0,5,daily
2022-11-14,9953.0,5,daily
2022-12-19,10749.0,5,daily
2022-03-14,9591.0,5,daily
2022-04-30,8655.0,5,daily
2022-05-26,9973.0,5,daily
2022-09-12,9896.0,5,daily
2022-11-11,10435.0,5,daily
2023-01-11,10631.0,5,daily
2021-04-13,8247.0,5,daily
2021-06-06,4980.0,5,daily
2021-07-06,8306.0,5,daily
2022-09-03,7994.0,5,daily
2022-10-02,5840.0,5,daily
2022-11-06,5444.0,5,daily
2023-01-19,12079.0,5,daily
2021-06-10,9321.0,5,daily
2021-07-01,8473.0,5,daily
2021-08-31,9042.0,5,daily
2021-10-12,5257.0,5,daily
2021-12-04,6885.0,5,daily
2022-01-03,8554.0,5,daily
2022-01-16,4544.0,5,daily
2022-12-21,15147.0,5,daily
2021-04-14,8592.0,5,daily
2021-06-16,9064.0,5,daily
2021-08-14,7255.0,5,daily
2021-10-26,9155.0,5,daily
2021-12-10,9540.0,5,daily
2022-01-18,8997.0,5,daily
2022-03-17,9811.0,5,daily
2022-05-02,9548.0,5,daily
2022-06-06,9797.0,5,daily
2022-07-27,10243.0,5,daily
2022-08-27,7804.0,5,daily
2022-10-16,5696.0,5,daily
2022-11-17,10171.0,5,daily
2022-12-24,7535.0,5,daily
2022-03-16,9440.0,5,daily
2022-05-04,9521.0,5,daily
2022-06-01,10237.0,5,daily
2022-07-15,9836.0,5,daily
2022-09-18,6175.0,5,daily
2022-11-21,9714.0,5,daily
2023-01-30,10460.0,5,daily
2023-02-07,10392.0,5,daily
2021-04-21,8201.0,5,daily
2021-06-17,8744.0,5,daily
2021-07-24,7640.0,5,daily
2022-09-08,10431.0,5,daily
2022-10-19,10348.0,5,daily
2022-11-28,10238.0,5,daily
2023-02-09,10967.0,5,daily
2023-02-26,5340.0,5,daily
2021-06-14,9285.0,5,daily
2021-07-21,8458.0,5,daily
2021-09-27,8715.0,5,daily
2021-11-09,9429.0,5,daily
2021-12-18,8315.0,5,daily
2022-01-09,3206.0,5,daily
2022-11-25,10731.0,5,daily
2022-12-03,8262.0,5,daily
2022-12-31,7215.0,5,daily
2021-05-18,8752.0,5,daily
2021-09-09,9135.0,5,daily
2021-11-07,4847.0,5,daily
2022-12-26,9374.0,5,daily
2023-01-27,10616.0,5,daily
2021-04-06,7414.0,5,daily
2021-06-24,8604.0,5,daily
2021-08-10,8399.0,5,daily
2021-09-15,9337.0,5,daily
2023-01-16,10471.0,5,daily
