"dateTime","weather","lineNumber","passengersNumber"
"2019-04-11",26,31,3070
"2019-04-11",26,28,13735
"2019-04-11",26,38,329
"2019-04-11",26,26,5057
"2019-04-11",26,16,960
"2019-04-11",26,43,419
"2019-04-11",26,19,1754
"2019-04-11",26,41,1234
"2019-04-12",23,37,922
"2019-04-12",23,106,125
"2019-04-12",23,25,3710
"2019-04-12",23,31,2988
"2019-04-12",23,110,153
"2019-04-12",23,108,63
"2019-04-12",23,109,44
"2019-04-12",23,102,35
"2019-04-12",23,23,955
"2019-04-12",23,27,2687
"2019-04-12",23,24,2513
"2019-04-12",23,32,895
"2019-04-12",23,29,2921
"2019-04-12",23,21,1631
"2019-04-12",23,26,5117
"2019-04-12",23,101,124
"2019-04-12",23,42,432
"2019-04-12",23,38,326
"2019-04-12",23,28,12813
"2019-04-12",23,35,719
"2019-04-12",23,103,61
"2019-04-12",23,45,1900
"2019-04-12",23,19,1890
"2019-04-12",23,40,2103
"2019-04-12",23,41,1076
"2019-04-12",23,13,11367
"2019-04-12",23,9,3367
"2019-04-12",23,43,349
"2019-04-12",23,33,4867
"2019-04-12",23,46,157
"2019-04-12",23,18,2360
"2019-04-12",23,17,6949
"2019-04-12",23,5,9530
"2019-04-12",23,6,69
"2019-04-12",23,16,1267
"2019-04-12",23,36,1397
"2019-04-12",23,104,120
"2019-04-12",23,8,2288
"2019-04-12",23,14,4377
"2019-04-13",12,38,234
"2019-04-13",12,110,239
"2019-04-13",12,108,154
"2019-04-13",12,109,125
"2019-04-13",12,21,1462
"2019-04-13",12,106,300
"2019-04-13",12,5,7275
"2019-04-13",12,37,643
"2019-04-13",12,104,290
"2019-04-13",12,23,657
"2019-04-13",12,26,4305
"2019-04-13",12,45,1134
"2019-04-13",12,41,630
"2019-04-13",12,19,1676
"2019-04-13",12,36,898
"2019-04-13",12,101,428
"2019-04-13",12,42,435
"2019-04-13",12,25,3054
"2019-04-13",12,46,156
"2019-04-13",12,35,179
"2019-04-13",12,6,22
"2019-04-13",12,24,1326
"2019-04-13",12,18,1538
"2019-04-13",12,103,315
"2019-04-13",12,27,1335
"2019-04-13",12,17,3177
"2019-04-13",12,102,152
"2019-04-13",12,33,2828
"2019-04-13",12,14,2983
"2019-04-13",12,9,2995
"2019-04-13",12,32,553
"2019-04-13",12,29,2462
"2019-04-13",12,8,1845
"2019-04-13",12,28,8729
"2019-04-13",12,16,1639
"2019-04-13",12,31,1757
"2019-04-13",12,13,9251
"2019-04-14",15,33,1536
"2019-04-14",15,37,436
"2019-04-14",15,45,1089
"2019-04-14",15,35,152
"2019-04-14",15,32,314
"2019-04-14",15,36,472
"2019-04-14",15,18,939
"2019-04-14",15,42,329
"2019-04-14",15,46,93
"2019-04-14",15,21,773
"2019-04-14",15,17,3618
"2019-04-14",15,41,293
"2019-04-14",15,31,954
"2019-04-14",15,24,343
"2019-04-14",15,16,1103
"2019-04-14",15,5,5395
"2019-04-14",15,38,183
"2019-04-14",15,29,1626
"2019-04-14",15,27,655
"2019-04-14",15,14,1806
"2019-04-14",15,13,6242
"2019-04-14",15,23,317
"2019-04-14",15,26,2632
"2019-04-14",15,6,32
"2019-04-14",15,19,1040
"2019-04-14",15,28,8749
"2019-04-14",15,9,2066
"2019-04-14",15,8,1262
"2019-04-14",15,25,1768
"2019-04-15",25,19,1546
"2019-04-15",25,23,772
"2019-04-15",25,14,3379
"2019-04-15",25,35,669
"2019-04-15",25,33,4188
"2019-04-15",25,6,39
"2019-04-15",25,32,648
